SignalRecordInator saved data
note:Some example data, two channels with time.
numChannels: 2
Channels: t, AI0, AI1,
SamplingFrequency: 1000
0.000000,0.856199,1.841236
0.001000,0.848303,1.833998
0.002000,0.869030,1.824785
0.003000,0.877584,1.816231
0.004000,0.857515,1.807677
0.005000,0.869688,1.800110
0.006000,0.885480,1.791885
0.007000,0.888441,1.782673
0.008000,0.893047,1.774777
0.009000,0.915420,1.767539
0.010000,0.888770,1.758327
0.011000,0.912459,1.750102
0.012000,0.914762,1.743193
0.013000,0.912788,1.734309
0.014000,0.924303,1.723781
0.015000,0.929238,1.715227
0.016000,0.937792,1.708976
0.017000,0.908182,1.699764
0.018000,0.919039,1.691539
0.019000,0.915420,1.681340
0.020000,0.933515,1.675089
0.021000,0.942727,1.665877
0.022000,0.891731,1.657981
0.023000,0.925948,1.648440
0.024000,0.928580,1.640872
0.025000,0.937463,1.632318
0.026000,0.935160,1.624422
0.027000,0.924632,1.616855
0.028000,0.928251,1.608301
0.029000,0.914433,1.599418
0.030000,0.922658,1.590535
0.031000,0.942398,1.582968
0.032000,0.907524,1.574085
0.033000,0.910814,1.565531
0.034000,0.927593,1.556977
0.035000,0.935818,1.549738
0.036000,0.926277,1.540855
0.037000,0.937134,1.532301
0.038000,0.928909,1.523747
0.039000,0.902917,1.516180
0.040000,0.907524,1.507297
0.041000,0.904234,1.499072
0.042000,0.900943,1.490518
0.043000,0.894692,1.483938
0.044000,0.887783,1.474726
0.045000,0.902259,1.465843
0.046000,0.879887,1.458933
0.047000,0.867714,1.450050
0.048000,0.879887,1.440838
0.049000,0.858831,1.432284
0.050000,0.871004,1.425375
0.051000,0.844355,1.416821
0.052000,0.868701,1.407938
0.053000,0.852251,1.399384
0.054000,0.834485,1.391817
0.055000,0.832511,1.383592
0.056000,0.851922,1.374709
0.057000,0.818693,1.366154
0.058000,0.820996,1.359245
0.059000,0.829550,1.350691
0.060000,0.810796,1.342137
0.061000,0.792043,1.333912
0.062000,0.762762,1.326016
0.063000,0.789740,1.317133
0.064000,0.794675,1.306934
0.065000,0.767039,1.299696
0.066000,0.766381,1.291471
0.067000,0.737100,1.282917
0.068000,0.737429,1.274033
0.069000,0.721966,1.265808
0.070000,0.722295,1.258241
